2016-10-22 23:03:04,435 |main                 |ContainerLoader               |I| [Startup] Loading containers from C:/Users/Windows/git/IMSProject/IMS/framework/base/config/ofbiz-containers.xml for loaders {main}
2016-10-22 23:03:28,668 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [  5] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/manufacturing/servicedef/services_formula.xml
2016-10-22 23:03:28,694 |OFBiz-config-2       |ModelServiceReader            |W| No parameter found for override parameter named: agreementText in service createAgreementTerm
2016-10-22 23:03:28,697 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [ 31] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/accounting/servicedef/services_agreement.xml
2016-10-22 23:03:28,708 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [ 34] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/manufacturing/servicedef/services_production_run.xml
2016-10-22 23:03:28,746 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [  5] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/manufacturing/servicedef/services_mrp.xml
2016-10-22 23:03:28,765 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [ 13] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/accounting/servicedef/services_admin.xml
2016-10-22 23:03:28,773 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [  9] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/accounting/servicedef/services_billing.xml
2016-10-22 23:03:28,819 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [ 58] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/accounting/servicedef/services_finaccount.xml
2016-10-22 23:03:28,842 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [ 39] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/accounting/servicedef/services_fixedasset.xml
2016-10-22 23:03:28,871 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [ 80] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/accounting/servicedef/services_ledger.xml
2016-10-22 23:03:28,884 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [ 50] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/accounting/servicedef/services_invoice.xml
2016-10-22 23:03:28,900 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [ 26] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/accounting/servicedef/services_payment.xml
2016-10-22 23:03:28,969 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [ 12] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/accounting/servicedef/services_paymentgateway.xml
2016-10-22 23:03:28,992 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [ 25] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/accounting/servicedef/services_tax.xml
2016-10-22 23:03:29,004 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [  5] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/accounting/servicedef/services_rate.xml
2016-10-22 23:03:29,042 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [  2] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/accounting/servicedef/services_olap.xml
2016-10-22 23:03:29,045 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [ 92] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/accounting/servicedef/services_paymentmethod.xml
2016-10-22 23:03:29,078 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [  9] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/accounting/servicedef/services_sagepay.xml
2016-10-22 23:03:29,087 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [ 10] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/accounting/servicedef/services_cost.xml
2016-10-22 23:03:29,093 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [  6] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/accounting/servicedef/services_authorizedotnet.xml
2016-10-22 23:03:29,095 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [  6] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/accounting/servicedef/services_clearcommerce.xml
2016-10-22 23:03:29,139 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [  8] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/accounting/servicedef/services_paypal.xml
2016-10-22 23:03:29,141 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [  5] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/accounting/servicedef/services_cybersource.xml
2016-10-22 23:03:29,167 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [ 10] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/accounting/servicedef/services_rita.xml
2016-10-22 23:03:29,222 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [ 21] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/accounting/servicedef/services_valuelink.xml
2016-10-22 23:03:29,228 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [ 11] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/accounting/servicedef/services_verisign.xml
2016-10-22 23:03:29,243 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [  5] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/accounting/servicedef/services_orbital.xml
2016-10-22 23:03:29,265 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [  4] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/accounting/servicedef/services_pccharge.xml
2016-10-22 23:03:29,290 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [ 12] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/accounting/servicedef/services_perm.xml
2016-10-22 23:03:29,319 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [  4] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/accounting/servicedef/services_upgrade.xml
2016-10-22 23:03:29,349 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [  5] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/accounting/servicedef/services_securepay.xml
2016-10-22 23:03:29,374 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [ 14] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/order/servicedef/services_cart.xml
2016-10-22 23:03:29,399 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [109] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/humanres/servicedef/services.xml
2016-10-22 23:03:29,517 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [ 16] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/order/servicedef/services_shoppinglist.xml
2016-10-22 23:03:29,531 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [ 32] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/order/servicedef/services_quote.xml
2016-10-22 23:03:29,548 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [ 22] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/order/servicedef/services_request.xml
2016-10-22 23:03:29,556 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [124] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/order/servicedef/services.xml
2016-10-22 23:03:29,626 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [ 21] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/order/servicedef/services_requirement.xml
2016-10-22 23:03:29,629 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [ 53] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/order/servicedef/services_return.xml
2016-10-22 23:03:29,642 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [  3] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/order/servicedef/services_checkout.xml
2016-10-22 23:03:29,644 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [  3] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/order/servicedef/services_upgrade.xml
2016-10-22 23:03:29,704 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [ 64] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/marketing/servicedef/services.xml
2016-10-22 23:03:29,712 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [  6] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/commonext/servicedef/services.xml
2016-10-22 23:03:29,712 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [  5] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/order/servicedef/services_olap.xml
2016-10-22 23:03:29,748 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [ 11] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/marketing/servicedef/services_opportunity.xml
2016-10-22 23:03:29,807 |OFBiz-config-0       |ServiceEcaUtil                |I| Loaded [  0] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/framework/common/servicedef/secas_cdyne.xml
2016-10-22 23:03:29,808 |OFBiz-config-1       |ServiceEcaUtil                |I| Loaded [  4] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/framework/common/servicedef/secas_test.xml
2016-10-22 23:03:29,810 |OFBiz-config-2       |ServiceEcaUtil                |I| Loaded [  3] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/framework/service/servicedef/secas_test_se.xml
2016-10-22 23:03:29,812 |OFBiz-config-3       |ServiceEcaUtil                |I| Loaded [ 22] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/applications/party/servicedef/secas.xml
2016-10-22 23:03:29,820 |OFBiz-config-1       |ServiceEcaUtil                |I| Loaded [ 10] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/applications/workeffort/servicedef/secas.xml
2016-10-22 23:03:29,825 |OFBiz-config-0       |ServiceEcaUtil                |I| Loaded [ 28] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/applications/content/servicedef/secas.xml
2016-10-22 23:03:29,828 |OFBiz-config-3       |ServiceEcaUtil                |I| Loaded [ 23] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/servicedef/secas_shipment.xml
2016-10-22 23:03:29,834 |OFBiz-config-0       |ServiceEcaUtil                |I| Loaded [  4] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/applications/manufacturing/servicedef/secas.xml
2016-10-22 23:03:29,836 |OFBiz-config-1       |ServiceEcaUtil                |I| Loaded [  2] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/servicedef/secas_olap.xml
2016-10-22 23:03:29,840 |OFBiz-config-3       |ServiceEcaUtil                |I| Loaded [ 21] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/applications/accounting/servicedef/secas.xml
2016-10-22 23:03:29,843 |OFBiz-config-1       |ServiceEcaUtil                |I| Loaded [ 22] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/applications/accounting/servicedef/secas_ledger.xml
2016-10-22 23:03:29,852 |OFBiz-config-1       |ServiceEcaUtil                |I| Loaded [  6] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/applications/accounting/servicedef/secas_invoice.xml
2016-10-22 23:03:29,853 |OFBiz-config-3       |ServiceEcaUtil                |I| Loaded [  1] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/applications/accounting/servicedef/secas_olap.xml
2016-10-22 23:03:29,859 |OFBiz-config-3       |ServiceEcaUtil                |I| Loaded [ 10] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/applications/marketing/servicedef/secas.xml
2016-10-22 23:03:29,863 |OFBiz-config-3       |ServiceEcaUtil                |I| Loaded [  0] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/applications/commonext/servicedef/secas.xml
2016-10-22 23:03:29,865 |OFBiz-config-0       |ServiceEcaUtil                |I| Loaded [  8] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/applications/accounting/servicedef/secas_payment.xml
2016-10-22 23:03:29,868 |OFBiz-config-2       |ServiceEcaUtil                |I| Loaded [ 24] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/servicedef/secas.xml
2016-10-22 23:03:29,877 |OFBiz-config-1       |ServiceEcaUtil                |I| Loaded [ 77] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/applications/order/servicedef/secas.xml
2016-10-22 23:03:29,878 |main                 |ServiceDispatcher             |I| Registering dispatcher: entity-default
2016-10-22 23:03:29,878 |main                 |ServiceContainer              |I| Created new dispatcher [entity-default] (main)
2016-10-22 23:03:29,977 |OFBiz-config-1       |EntityEcaUtil                 |I| Loaded [  2] Entity ECA definitions from C:/Users/Windows/git/IMSProject/IMS/applications/accounting/entitydef/eecas.xml in loader main
2016-10-22 23:03:29,978 |OFBiz-config-3       |EntityEcaUtil                 |I| Loaded [ 11] Entity ECA definitions from C:/Users/Windows/git/IMSProject/IMS/applications/content/entitydef/eecas.xml in loader main
2016-10-22 23:03:29,982 |OFBiz-config-2       |EntityEcaUtil                 |I| Loaded [ 14] Entity ECA definitions from C:/Users/Windows/git/IMSProject/IMS/applications/product/entitydef/eecas.xml in loader main
2016-10-22 23:03:29,984 |OFBiz-config-0       |EntityEcaUtil                 |I| Loaded [  4] Entity ECA definitions from C:/Users/Windows/git/IMSProject/IMS/applications/workeffort/entitydef/eecas.xml in loader main
2016-10-22 23:03:30,020 |OFBiz-config-1       |EntityEcaUtil                 |I| Loaded [  3] Entity ECA definitions from C:/Users/Windows/git/IMSProject/IMS/applications/order/entitydef/eecas.xml in loader main
2016-10-22 23:03:31,688 |main                 |CatalinaContainer             |I| createHost(StandardEngine[default-server], 0.0.0.0)
2016-10-22 23:03:31,826 |main                 |CatalinaContainer             |I| Creating connector for address='0.0.0.0' port='8009' protocol='ajp'
2016-10-22 23:03:32,133 |main                 |CatalinaContainer             |I| Creating connector for address='0.0.0.0' port='8080' protocol='http'
2016-10-22 23:03:32,195 |main                 |CatalinaContainer             |I| Creating connector for address='0.0.0.0' port='8443' protocol='https'
2016-10-22 23:03:32,205 |main                 |ContainerLoader               |I| Loaded component's container: catalina-container
2016-10-22 23:03:32,210 |main                 |ContainerLoader               |I| [Startup] Starting containers...
2016-10-22 23:03:32,210 |main                 |ContainerLoader               |I| Starting container component-container
2016-10-22 23:03:32,210 |main                 |ContainerLoader               |I| Started container component-container
2016-10-22 23:03:32,210 |main                 |ContainerLoader               |I| Starting container classloader-container
2016-10-22 23:03:32,210 |main                 |ContainerLoader               |I| Started container classloader-container
2016-10-22 23:03:32,210 |main                 |ContainerLoader               |I| Starting container service-container
2016-10-22 23:03:32,211 |main                 |ContainerLoader               |I| Started container service-container
2016-10-22 23:03:32,211 |main                 |ContainerLoader               |I| Starting container catalina-container
2016-10-22 23:03:36,280 |main                 |CatalinaContainer             |I| createContext(ecomclone)
2016-10-22 23:03:36,287 |main                 |CatalinaContainer             |I| createContext(ecommerce)
2016-10-22 23:03:36,288 |main                 |CatalinaContainer             |I| createContext(ordermgr-js)
2016-10-22 23:03:36,288 |main                 |CatalinaContainer             |I| createContext(ofbizsetup)
2016-10-22 23:03:36,288 |main                 |CatalinaContainer             |I| createContext(SalesForceAutomation)
2016-10-22 23:03:36,288 |main                 |CatalinaContainer             |I| createContext(marketing)
2016-10-22 23:03:36,288 |main                 |CatalinaContainer             |I| createContext(order)
2016-10-22 23:03:36,289 |main                 |CatalinaContainer             |I| createContext(humanres)
2016-10-22 23:03:36,289 |main                 |CatalinaContainer             |I| createContext(ap)
2016-10-22 23:03:36,289 |main                 |CatalinaContainer             |I| createContext(ar)
2016-10-22 23:03:36,289 |main                 |CatalinaContainer             |I| createContext(accounting)
2016-10-22 23:03:36,290 |main                 |CatalinaContainer             |I| createContext(manufacturing)
2016-10-22 23:03:36,290 |main                 |CatalinaContainer             |I| createContext(facility)
2016-10-22 23:03:36,290 |main                 |CatalinaContainer             |I| createContext(catalog)
2016-10-22 23:03:36,290 |main                 |CatalinaContainer             |I| createContext(ical)
2016-10-22 23:03:36,291 |main                 |CatalinaContainer             |I| createContext(workeffort)
2016-10-22 23:03:36,291 |main                 |CatalinaContainer             |I| createContext(content)
2016-10-22 23:03:36,291 |main                 |CatalinaContainer             |I| createContext(party)
2016-10-22 23:03:36,291 |main                 |CatalinaContainer             |I| createContext(tomahawk)
2016-10-22 23:03:36,292 |main                 |CatalinaContainer             |I| createContext(flatgrey)
2016-10-22 23:03:36,292 |main                 |CatalinaContainer             |I| createContext(images)
2016-10-22 23:03:36,292 |main                 |CatalinaContainer             |I| createContext(webtools)
2016-10-22 23:03:36,292 |main                 |CatalinaContainer             |I| createContext(bi)
2016-10-22 23:03:37,289 |catalina-startup-1   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/ecomclone])
2016-10-22 23:03:37,289 |catalina-startup-0   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/ecommerce])
2016-10-22 23:03:37,291 |catalina-startup-2   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/ordermgr-js])
2016-10-22 23:03:37,292 |catalina-startup-3   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/ofbizsetup])
2016-10-22 23:03:39,036 |catalina-startup-1   |ServiceDispatcher             |I| Registering dispatcher: ecommerce
2016-10-22 23:03:39,036 |catalina-startup-1   |ServiceContainer              |I| Created new dispatcher [ecommerce] (catalina-startup-1)
2016-10-22 23:03:39,039 |catalina-startup-3   |ServiceDispatcher             |I| Registering dispatcher: setup
2016-10-22 23:03:39,039 |catalina-startup-3   |ServiceContainer              |I| Created new dispatcher [setup] (catalina-startup-3)
2016-10-22 23:03:39,045 |catalina-startup-3   |ControlServlet                |I| LOADING WEBAPP [ofbizsetup] Open For Business - Setup Manager, located at C:\Users\Windows\git\IMSProject\IMS\applications\commonext\webapp\ofbizsetup\
2016-10-22 23:03:39,046 |catalina-startup-1   |ControlServlet                |I| LOADING WEBAPP [ecomclone] Open For Business - demostore, located at C:\Users\Windows\git\IMSProject\IMS\specialpurpose\ecommerce\webapp\ecomclone\
2016-10-22 23:03:39,061 |catalina-startup-0   |ControlServlet                |I| LOADING WEBAPP [ecommerce] Open For Business - demostore, located at C:\Users\Windows\git\IMSProject\IMS\specialpurpose\ecommerce\webapp\ecommerce\
2016-10-22 23:03:39,241 |catalina-startup-2   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/sfa])
2016-10-22 23:03:39,320 |catalina-startup-3   |ConfigXMLReader               |I| controller loaded: 0.017s, 32 requests, 15 views in jndi:/0.0.0.0/ofbizsetup/WEB-INF/controller.xml
2016-10-22 23:03:39,335 |catalina-startup-1   |ConfigXMLReader               |I| controller loaded: 0.0s, 0 requests, 0 views in jndi:/0.0.0.0/ecomclone/WEB-INF/controller.xml
2016-10-22 23:03:39,361 |catalina-startup-2   |ServiceDispatcher             |I| Registering dispatcher: sfa
2016-10-22 23:03:39,361 |catalina-startup-2   |ServiceContainer              |I| Created new dispatcher [sfa] (catalina-startup-2)
2016-10-22 23:03:39,363 |catalina-startup-2   |ControlServlet                |I| LOADING WEBAPP [sfa] Open For Business - SFA Manager, located at C:\Users\Windows\git\IMSProject\IMS\applications\marketing\webapp\sfa\
2016-10-22 23:03:39,431 |catalina-startup-0   |ConfigXMLReader               |I| controller loaded: 0.049s, 297 requests, 97 views in jndi:/0.0.0.0/ecommerce/WEB-INF/controller.xml
2016-10-22 23:03:39,457 |catalina-startup-3   |ConfigXMLReader               |I| controller loaded: 0.002s, 39 requests, 19 views in file:/C:/Users/Windows/git/IMSProject/IMS/framework/common/webcommon/WEB-INF/common-controller.xml
2016-10-22 23:03:39,461 |catalina-startup-2   |ConfigXMLReader               |I| controller loaded: 0.003s, 50 requests, 31 views in jndi:/0.0.0.0/sfa/WEB-INF/controller.xml
2016-10-22 23:03:39,505 |catalina-startup-1   |ConfigXMLReader               |I| controller loaded: 0.092s, 297 requests, 97 views in file:/C:/Users/Windows/git/IMSProject/IMS/specialpurpose/ecommerce/webapp/ecommerce/WEB-INF/controller.xml
2016-10-22 23:03:39,523 |catalina-startup-3   |ConfigXMLReader               |I| controller loaded: 0.0s, 0 requests, 0 views in file:/C:/Users/Windows/git/IMSProject/IMS/framework/common/webcommon/WEB-INF/handlers-controller.xml
2016-10-22 23:03:39,533 |catalina-startup-2   |ConfigXMLReader               |I| controller loaded: 0.0s, 0 requests, 0 views in file:/C:/Users/Windows/git/IMSProject/IMS/framework/common/webcommon/WEB-INF/handlers-controller.xml
2016-10-22 23:03:39,610 |catalina-startup-3   |ConfigXMLReader               |I| controller loaded: 0.001s, 4 requests, 0 views in file:/C:/Users/Windows/git/IMSProject/IMS/applications/commonext/webapp/WEB-INF/controller.xml
2016-10-22 23:03:39,626 |catalina-startup-2   |ConfigXMLReader               |I| controller loaded: 0.002s, 26 requests, 10 views in file:/C:/Users/Windows/git/IMSProject/IMS/framework/common/webcommon/WEB-INF/portal-controller.xml
2016-10-22 23:03:39,748 |catalina-startup-2   |ConfigXMLReader               |I| controller loaded: 0.019s, 249 requests, 100 views in file:/C:/Users/Windows/git/IMSProject/IMS/applications/party/webapp/partymgr/WEB-INF/controller.xml
2016-10-22 23:03:39,752 |catalina-startup-3   |ConfigXMLReader               |I| controller loaded: 0.052s, 249 requests, 100 views in file:/C:/Users/Windows/git/IMSProject/IMS/applications/party/webapp/partymgr/WEB-INF/controller.xml
2016-10-22 23:03:39,819 |catalina-startup-2   |ConfigXMLReader               |I| controller loaded: 0.002s, 30 requests, 13 views in file:/C:/Users/Windows/git/IMSProject/IMS/framework/common/webcommon/WEB-INF/security-controller.xml
2016-10-22 23:03:39,820 |catalina-startup-3   |ConfigXMLReader               |I| controller loaded: 0.001s, 30 requests, 13 views in file:/C:/Users/Windows/git/IMSProject/IMS/framework/common/webcommon/WEB-INF/security-controller.xml
2016-10-22 23:03:39,963 |catalina-startup-2   |ConfigXMLReader               |I| controller loaded: 0.017s, 370 requests, 153 views in file:/C:/Users/Windows/git/IMSProject/IMS/applications/content/webapp/content/WEB-INF/controller.xml
2016-10-22 23:03:39,990 |catalina-startup-3   |ConfigXMLReader               |I| controller loaded: 0.022s, 370 requests, 153 views in file:/C:/Users/Windows/git/IMSProject/IMS/applications/content/webapp/content/WEB-INF/controller.xml
2016-10-22 23:03:40,058 |catalina-startup-0   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/ordermgr])
2016-10-22 23:03:40,072 |catalina-startup-2   |ConfigXMLReader               |I| controller loaded: 0.028s, 141 requests, 65 views in file:/C:/Users/Windows/git/IMSProject/IMS/applications/workeffort/webapp/workeffort/WEB-INF/controller.xml
2016-10-22 23:03:40,085 |catalina-startup-1   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/marketing])
2016-10-22 23:03:40,161 |catalina-startup-2   |ConfigXMLReader               |I| controller loaded: 0.001s, 15 requests, 7 views in file:/C:/Users/Windows/git/IMSProject/IMS/applications/workeffort/webapp/workeffort/WEB-INF/icalendar-controller.xml
2016-10-22 23:03:40,228 |catalina-startup-1   |ServiceDispatcher             |I| Registering dispatcher: marketing
2016-10-22 23:03:40,228 |catalina-startup-1   |ServiceContainer              |I| Created new dispatcher [marketing] (catalina-startup-1)
2016-10-22 23:03:40,229 |catalina-startup-1   |ControlServlet                |I| LOADING WEBAPP [marketing] Open For Business - Marketing Manager, located at C:\Users\Windows\git\IMSProject\IMS\applications\marketing\webapp\marketing\
2016-10-22 23:03:40,298 |catalina-startup-0   |ServiceDispatcher             |I| Registering dispatcher: order
2016-10-22 23:03:40,298 |catalina-startup-0   |ServiceContainer              |I| Created new dispatcher [order] (catalina-startup-0)
2016-10-22 23:03:40,299 |catalina-startup-0   |ControlServlet                |I| LOADING WEBAPP [ordermgr] Open For Business - Order Manager, located at C:\Users\Windows\git\IMSProject\IMS\applications\order\webapp\ordermgr\
2016-10-22 23:03:40,313 |catalina-startup-1   |ConfigXMLReader               |I| controller loaded: 0.005s, 91 requests, 48 views in jndi:/0.0.0.0/marketing/WEB-INF/controller.xml
2016-10-22 23:03:40,412 |catalina-startup-1   |ServiceDispatcher             |I| Registering dispatcher: default
2016-10-22 23:03:40,412 |catalina-startup-1   |ServiceContainer              |I| Created new dispatcher [default] (catalina-startup-1)
2016-10-22 23:03:40,464 |catalina-startup-0   |ConfigXMLReader               |I| controller loaded: 0.034s, 358 requests, 146 views in jndi:/0.0.0.0/ordermgr/WEB-INF/controller.xml
2016-10-22 23:03:40,509 |catalina-startup-2   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/ar])
2016-10-22 23:03:40,533 |catalina-startup-1   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/ap])
2016-10-22 23:03:40,582 |catalina-startup-3   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/humanres])
2016-10-22 23:03:40,595 |catalina-startup-0   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/accounting])
2016-10-22 23:03:40,609 |catalina-startup-1   |ServiceDispatcher             |I| Registering dispatcher: ap
2016-10-22 23:03:40,609 |catalina-startup-1   |ServiceContainer              |I| Created new dispatcher [ap] (catalina-startup-1)
2016-10-22 23:03:40,610 |catalina-startup-1   |ControlServlet                |I| LOADING WEBAPP [ap] Open For Business - Account Payable, located at C:\Users\Windows\git\IMSProject\IMS\applications\accounting\webapp\ap\
2016-10-22 23:03:40,635 |catalina-startup-2   |ServiceDispatcher             |I| Registering dispatcher: ar
2016-10-22 23:03:40,635 |catalina-startup-2   |ServiceContainer              |I| Created new dispatcher [ar] (catalina-startup-2)
2016-10-22 23:03:40,636 |catalina-startup-2   |ControlServlet                |I| LOADING WEBAPP [ar] Open For Business - Account Receivable, located at C:\Users\Windows\git\IMSProject\IMS\applications\accounting\webapp\ar\
2016-10-22 23:03:40,671 |catalina-startup-3   |ServiceDispatcher             |I| Registering dispatcher: Humanres
2016-10-22 23:03:40,671 |catalina-startup-3   |ServiceContainer              |I| Created new dispatcher [Humanres] (catalina-startup-3)
2016-10-22 23:03:40,672 |catalina-startup-3   |ControlServlet                |I| LOADING WEBAPP [humanres] Open For Business - HumanRes Manager, located at C:\Users\Windows\git\IMSProject\IMS\applications\humanres\webapp\humanres\
2016-10-22 23:03:40,716 |catalina-startup-2   |ConfigXMLReader               |I| controller loaded: 0.001s, 16 requests, 10 views in jndi:/0.0.0.0/ar/WEB-INF/controller.xml
2016-10-22 23:03:40,725 |catalina-startup-1   |ConfigXMLReader               |I| controller loaded: 0.001s, 22 requests, 14 views in jndi:/0.0.0.0/ap/WEB-INF/controller.xml
2016-10-22 23:03:40,753 |catalina-startup-0   |ServiceDispatcher             |I| Registering dispatcher: accounting
